student_id,0
YasamanMoradifard,100.0
ViRa2703,100.0
Programmercloud-cmd,100.0
maria-tischer,100.0
lucianadcnsc,100.0
harshjoshi23,100.0
Samu1704,100.0
GhoshSrinjoy,100.0
Gnampfili,100.0
SameenF,99.5
pi52hedo,99.0
mgusyev,99.0
HaarisIqubal,98.0
Youngtuotuo1,95.5
parisa7103,95.5
MalenaGrimm,95.0
MichaelaHofmann,94.0
apollonia99,93.0
zubejda,88.0
Husseinymohammad,88.0
FionaBeck,80.0
teenanandwani,76.0
einThilo,68.0
ElisabethMeier,64.5
Abhijna36,64.5
Vaish1795,63.5
SugarSweetSour,60.0
meghvorafau,53.5
aman-sayyad-02,51.5
AdarShachath,43.0
taba-luca,41.0
shalamitskaya,35.0
KshitijDua,27.0
JaredJahnel,26.5
moestenfau,23.0
sebastianhoefler,19.0
juliakuttner,18.5
DARREN-2000,18.0
A-Pauline,16.5
mdtrch,9.0
lucaabel,8.0
rehmanazeem,8.0
rachanakafle,2.5
S-Uzun,1.0
mishraanuraagx,1.0
Kittykat002,1.0
Tejaswiyarlagadda-28,1.0
MoritzAschoff5,1.0
jajawang,0.0
safa0rhan,0.0
vijaygowda95,0.0
NurObj,0.0
sophajey,0.0
Aastha-Thapaliya,0.0
GUNJANPALFAU,0.0
afsane18,0.0
ArefehRh,0.0
ghost,0.0
han-bur,0.0
Farhad-Valizadegan,0.0
LeonHaack2001,0.0
