identifier,score_percent
ab84abiq,54.0
ac00ukok,100.0
ac13atok,97.33333333333334
ac41ycar,1.3333333333333335
ac83ekob,71.33333333333334
ac98axiw,100.0
af72agil,0.0
af99ucov,0.0
ag17uhog,86.66666666666667
ag64otel,78.66666666666666
ah21acis,96.0
aj26ojyc,81.33333333333333
aj41okaj,100.0
aj82enod,100.0
ak14ovuw,100.0
al11imax,96.0
am81iwoc,94.66666666666667
am98azef,62.0
an34ifuq,96.66666666666667
ap04wiem,100.0
aq89opob,0.0
as27ehuz,73.33333333333333
as36ofug,100.0
av60uber,12.0
ba36hebo,12.0
ba47sycy,97.33333333333334
bu02pudi,100.0
ca39nawy,65.33333333333333
ci61lydi,34.66666666666667
de23paxa,78.0
de49heto,38.666666666666664
de89mysi,0.0
du69nibe,38.666666666666664
dy41fuky,100.0
dy89nipo,85.33333333333334
ec78ihob,82.66666666666667
ed11uwyz,12.0
ef73ukak,97.33333333333334
ej58icyl,74.66666666666667
en18yfud,100.0
ep29ynyv,24.0
eq35ilyv,100.0
er30utax,64.66666666666666
er31ygec,97.33333333333334
er73akad,98.0
ez21ipog,0.0
ez55etuw,99.33333333333333
fa50jyro,97.33333333333334
fa75kyqy,73.33333333333333
fe54pebo,95.33333333333334
fe65hyry,0.0
fy46jogu,97.33333333333334
gi07qeju,1.3333333333333335
gi60wedo,97.33333333333334
gu74wygo,97.33333333333334
ha95pisy,12.0
hi30vysu,29.333333333333332
hi34tihe,25.333333333333336
ic73elez,97.33333333333334
if07iwul,84.66666666666667
im41epol,73.33333333333333
im87ixel,100.0
iq10unuk,12.0
iq50ywow,100.0
it07ecel,28.000000000000004
it45ahog,93.33333333333333
iv69ulum,12.0
iw05anod,100.0
ix27upyk,100.0
je42posy,53.333333333333336
ji18faba,94.66666666666667
ji39jasi,100.0
jo64viju,100.0
jo98xewe,97.33333333333334
jy15qury,96.0
ka40tonu,1.3333333333333335
ke64jigo,13.333333333333334
le93hofe,0.0
li24qeku,100.0
lo48xufy,96.0
lo72fudi,98.66666666666667
ma57ziny,100.0
ma69zice,97.33333333333334
ma76wuwi,96.0
mo41zigi,64.66666666666666
mo61gehe,0.0
mo76nery,95.33333333333334
mu04kohu,24.0
mu51wabi,80.0
ne92jica,1.3333333333333335
ni04wyka,100.0
ni76loji,96.0
no73widi,77.33333333333333
oc14ineb,42.66666666666667
oc49uxyc,84.0
od41atam,25.333333333333336
of05adij,0.0
og34yhyf,100.0
oh21araz,1.3333333333333335
oh84ityc,24.666666666666668
ok68isac,42.66666666666667
ol43omyb,85.33333333333334
on47uviv,97.33333333333334
or91udap,69.33333333333334
os05orad,97.33333333333334
os69ywem,82.66666666666667
ot41idap,97.33333333333334
ow37yfeb,12.0
ow90ugem,97.33333333333334
pa57rapa,1.3333333333333335
pi44ditu,84.0
py02sivo,28.000000000000004
py87gily,76.0
qa47dibu,89.33333333333333
qa70zeno,24.0
qi99daju,100.0
qo15gyhe,66.66666666666666
qo77buby,100.0
qy93beqi,25.333333333333336
qy98qywa,100.0
re77cyfu,12.0
re86netu,40.0
ru02cyro,100.0
ru26qano,100.0
ry59dame,96.0
sa61zijo,97.33333333333334
si63wary,92.0
so42jawi,100.0
te18tihy,12.0
uc06exyb,1.3333333333333335
uf40ibaw,57.333333333333336
us79exak,57.333333333333336
uv28yqut,100.0
uw42ewob,52.0
ve19wipa,100.0
vi62tyqy,12.0
vu38bimy,94.66666666666667
vy63bahe,0.0
xe82vuto,100.0
xe96duqi,96.0
xi89bicu,100.0
xo25govo,100.0
yf18esov,68.66666666666667
yg17yjaf,100.0
yg49ojok,0.0
yg57amob,78.66666666666666
yj15avom,54.666666666666664
yl03oxiq,100.0
ym16uryr,100.0
yp28etof,12.0
yr06ixyv,12.0
yr64yqys,93.33333333333333
yv11ovir,77.33333333333333
yw31onix,97.33333333333334
zy36gula,77.33333333333333
