student_id,0
yp69ejot,100.0
PaulaLim,100.0
xindiyu,100.0
vv88alias,100.0
raihansaa,100.0
nickrpr,100.0
ly87muro,100.0
Gschosi,100.0
lamteteeow,100.0
charlottewiebecke,100.0
AhmedSofan10,92.0
suchirasuresh,85.0
MakitaNdunguru,85.0
luzrch,82.0
sriboote,82.0
MichaelaHofmann,80.0
abdallaheid00,75.0
lucaabel,69.5
SusanneMa,66.5
theoneandvronly,62.0
Lukaaaa13,62.0
Pei-HanJiang,60.0
EmilyKratsch,59.0
LinusRac,56.99999999999999
MokshaVora29,53.5
ArefehRh,51.0
nurulkabir99,46.0
FA-538,42.0
konichua,38.0
ksfjfo,33.5
Jonas185,24.0
mirikurz,24.0
deerson2,22.5
miculm,22.5
nilamrajakk311,21.0
Nelles256,21.0
Melina2312,19.0
smokemh,19.0
michi1248,19.0
niculinadragan,14.499999999999998
moestenfau,11.0
alisag12,10.5
felihauck,10.5
theresanadler,10.0
KayranX,9.0
NavalMor,9.0
h4xl33t,9.0
abdulmoeed786-ger,9.0
osddq,9.0
Chamutalcast,9.0
skbabeer,9.0
leopotato721,9.0
Olgaspice,9.0
Ashikluffy,1.0
viranya31,1.0
NTKL,1.0
susmaraifau,1.0
Dan-github16,1.0
priyam1504,1.0
heenas085,0.0
urschade,0.0
aleemfau,0.0
youssafB,0.0
moesten,0.0
